34,2017-12-18,@,New Jersey Devils,3,5,L,,,24,4,0,2,0,,34,4,1,2,0,,46,44,51.1,31,40,43.7,32,24,57.1,52.5,100.3
35,2017-12-19,@,New York Rangers,1,4,L,,,40,4,0,2,0,,32,4,0,2,0,,60,46,56.6,46,40,53.5,23,22,51.1,57.8,89.2
36,2017-12-21,@,New York Islanders,5,4,W,OT,,40,8,0,2,0,,26,6,2,3,0,,65,46,58.6,50,31,61.7,39,29,57.4,59.2,104.4
37,2017-12-23,@,Pittsburgh Penguins,4,0,W,,,23,6,1,2,1,,29,6,,2,,,38,46,45.2,28,34,45.2,20,28,41.7,37.9,110.0
38,2017-12-27,,Vegas Golden Knights,1,4,L,,,28,4,0,2,0,,28,4,0,2,0,,58,42,58.0,41,32,56.2,25,23,52.1,60.7,86.2
39,2017-12-29,,Calgary Flames,2,1,W,,,41,13,1,6,0,,23,19,0,3,0,,50,50,50.0,45,30,60.0,21,27,43.8,59.1,97.6
40,2017-12-31,,Arizona Coyotes,5,2,W,,,26,6,0,1,0,,25,2,2,4,0,,49,52,48.5,40,32,55.6,35,18,66.0,50.0,120.8
41,2018-01-02,@,Vancouver Canucks,5,0,W,,,27,13,0,2,0,,31,9,,4,,,38,45,45.8,30,35,46.2,25,32,43.9,42.3,120.8
42,2018-01-04,@,Edmonton Oilers,1,2,L,SO,,34,10,1,2,0,,34,4,0,5,0,,49,54,47.6,33,37,47.1,22,25,46.8,51.0,96.2
43,2018-01-06,@,Calgary Flames,2,3,L,,,29,24,0,3,1,,31,32,0,4,0,,32,53,37.6,25,38,39.7,27,22,55.1,32.6,93.5
44,2018-01-13,@,Los Angeles Kings,4,2,W,,,22,19,1,2,0,,25,19,0,2,0,,44,48,47.8,33,33,50.0,21,20,51.2,64.0,106.3
45,2018-01-15,@,Colorado Avalanche,1,3,L,,,34,12,0,2,0,,29,4,1,6,0,,50,39,56.2,41,25,62.1,20,17,54.1,68.4,92.7
46,2018-01-17,,Pittsburgh Penguins,5,3,W,,,33,14,0,2,1,,33,10,2,4,0,,39,53,42.4,33,39,45.8,30,20,60.0,50.0,114.7
47,2018-01-19,,Los Angeles Kings,2,1,W,,,31,2,0,2,0,,24,4,0,1,0,,51,63,44.7,41,41,50.0,30,19,61.2,38.2,104.5
48,2018-01-21,,San Jose Sharks,2,6,L,,,35,10,1,3,0,,26,4,2,5,0,,58,38,60.4,44,29,60.3,24,20,54.5,68.0,82.7
49,2018-01-23,,New York Rangers,6,3,W,,,31,6,2,6,1,,44,10,1,3,1,,40,44,47.6,34,41,45.3,29,18,61.7,43.8,109.7
50,2018-01-25,,Winnipeg Jets,4,3,W,SO,,39,4,0,4,0,,27,8,0,2,0,,66,43,60.6,51,35,59.3,28,22,56.0,65.9,92.7
51,2018-01-30,@,Boston Bruins,3,1,W,,,27,10,1,2,0,,31,6,0,4,0,,33,48,40.7,27,34,44.3,28,21,57.1,34.4,105.5
52,2018-02-01,@,Ottawa Senators,1,2,L,OT,,31,10,0,2,0,,32,6,2,4,0,,59,34,63.4,41,27,60.3,21,20,51.2,51.4,103.7
53,2018-02-03,@,Montreal Canadiens,2,5,L,,,45,22,1,4,0,,29,6,3,7,0,,66,29,69.5,44,19,69.8,17,17,50.0,67.3,89.6
54,2018-02-05,@,Toronto Maple Leafs,4,7,L,,,44,6,1,3,0,,40,6,1,3,0,,70,48,59.3,49,40,55.1,24,29,45.3,62.5,88.1
